Movie,year,time_minute,imdb_rating,metascore,vote,gross_earning,certificates,genres,ProductionBudget,DomesticGross,WorldwideGross,Movie_year
Transcendence,2014,119 min,6.2,42        ,"222,697",$23.02M,PG-13,"
Action, Drama, Sci-Fi            ",100000000,23022309,103039258,Transcendence  2014
Beowulf,2007,115 min,6.2,59        ,"165,102",$82.16M,PG-13,"
Animation, Action, Adventure            ",150000000,82280579,195080579,Beowulf 2007
The A-Team,2010,117 min,6.7,47        ,"252,498",$77.22M,PG-13,"
Action, Adventure, Thriller            ",110000000,77222099,177241171,The A-Team 2010
Jarhead,2005,125 min,7.0,58        ,"182,056",$62.66M,R,"
Action, Biography, Drama            ",72000000,62647540,96947540,Jarhead 2005
The Aviator,2004,170 min,7.5,77        ,"346,644",$102.61M,PG-13,"
Biography, Drama            ",110000000,102608827,208370892,The Aviator 2004
The Sum of All Fears,2002,124 min,6.4,45        ,"111,086",$118.91M,PG-13,"
Action, Drama, Thriller            ",68000000,118471320,193500000,The Sum of All Fears 2002
Teenage Mutant Ninja Turtles,2014,101 min,5.8,31        ,"205,374",$191.20M,PG-13,"
Action, Adventure, Comedy            ",125000000,191204754,485004754,Teenage Mutant Ninja Turtles 2014
The Lego Movie,2014,100 min,7.7,83        ,"335,810",$257.76M,PG,"
Animation, Adventure, Comedy            ",60000000,257784718,468084718,The Lego Movie 2014
Life of Pi,2012,127 min,7.9,79        ,"601,432",$124.99M,PG,"
Adventure, Drama, Fantasy            ",120000000,124987022,619310368,Life of Pi 2012
300: Rise of an Empire,2014,102 min,6.2,48        ,"289,284",$106.58M,R,"
Action, Drama            ",110000000,106580051,330780051,300: Rise of an Empire 2014
Real Steel,2011,127 min,7.0,56        ,"311,463",$85.47M,PG-13,"
Action, Drama, Sci-Fi            ",110000000,85463309,263880341,Real Steel 2011
Maze Runner: The Death Cure,2018,143 min,6.3,50        ,"125,499",$58.03M,PG-13,"
Action, Adventure, Sci-Fi            ",61000000,58032443,265878536,Maze Runner: The Death Cure 2018
Allied,2016,124 min,7.1,60        ,"149,343",$40.10M,R,"
Action, Drama, Romance            ",106000000,40098064,119266661,Allied 2016
Jupiter Ascending,2015,127 min,5.3,40        ,"183,888",$47.39M,PG-13,"
Action, Adventure, Sci-Fi            ",179000000,47482519,181982519,Jupiter Ascending 2015
Blade: Trinity,2004,113 min,5.8,38        ,"171,029",$52.41M,R,"
Action, Horror, Sci-Fi            ",65000000,52397389,131353165,Blade: Trinity 2004
Cars 3,2017,102 min,6.7,59        ,"85,938",$152.90M,G,"
Animation, Adventure, Comedy            ",175000000,152901115,383541369,Cars 3 2017
Rampage,2018,107 min,6.1,45        ,"155,327",$101.03M,PG-13,"
Action, Adventure, Sci-Fi            ",120000000,101028233,427947217,Rampage 2018
The Golden Compass,2007,113 min,6.1,51        ,"183,512",$70.11M,PG-13,"
Adventure, Family, Fantasy            ",205000000,70107728,367262558,The Golden Compass 2007
First Man,2018,141 min,7.3,84        ,"178,968",$44.94M,PG-13,"
Biography, Drama, History            ",60000000,44936545,105703325,First Man 2018
Deep Blue Sea,1999,105 min,5.9,54        ,"129,805",$73.65M,R,"
Action, Adventure, Sci-Fi            ",60000000,73648228,165048228,Deep Blue Sea 1999
47 Ronin,2013,128 min,6.3,28        ,"154,510",$38.36M,PG-13,"
Action, Drama, Fantasy            ",175000000,38362475,151716815,47 Ronin 2013
The Jungle Book,2016,106 min,7.4,77        ,"267,700",$364.00M,PG,"
Adventure, Comedy, Drama            ",175000000,364001123,953554418,The Jungle Book 2016
The Jungle Book,1967,78 min,7.6,65        ,"173,031",$141.84M,G,"
Animation, Adventure, Comedy            ",175000000,364001123,953554418,The Jungle Book 1967
Lady in the Water,2006,110 min,5.5,36        ,"97,594",$42.29M,PG-13,"
Drama, Fantasy, Mystery            ",75000000,42285169,72785169,Lady in the Water 2006
Vanilla Sky,2001,136 min,6.9,45        ,"256,072",$100.61M,R,"
Fantasy, Mystery, Romance            ",70000000,100614858,202726605,Vanilla Sky 2001
The Wolverine,2013,126 min,6.7,61        ,"444,702",$132.56M,PG-13,"
Action, Sci-Fi            ",115000000,132556852,416456852,The Wolverine 2013
Jurassic Park III,2001,92 min,5.9,42        ,"305,663",$181.17M,PG-13,"
Action, Adventure, Sci-Fi            ",93000000,181166115,365900000,Jurassic Park III 2001
Fast & Furious,2009,107 min,6.6,46        ,"275,632",$155.06M,PG-13,"
Action, Thriller            ",85000000,155064265,359347833,Fast & Furious 2009
The Italian Job,2003,111 min,7.0,68        ,"353,945",$106.13M,PG-13,"
Action, Crime, Thriller            ",60000000,106126012,176262839,The Italian Job 2003
Godzilla,2014,123 min,6.4,62        ,"399,320",$200.68M,PG-13,"
Action, Adventure, Sci-Fi            ",160000000,200676069,529076069,Godzilla 2014
Godzilla,1998,139 min,5.4,32        ,"188,529",$136.31M,PG-13,"
Action, Sci-Fi, Thriller            ",160000000,200676069,529076069,Godzilla  1998
The Call of the Wild,2020,100 min,6.8,47        ,"44,190",$62.34M,PG,"
Adventure, Drama, Family            ",125000000,62342368,107360936,The Call of the Wild 2020
Exodus: Gods and Kings,2014,150 min,6.0,52        ,"163,952",$65.01M,PG-13,"
Action, Adventure, Drama            ",140000000,65014513,268314513,Exodus: Gods and Kings 2014
Abraham Lincoln: Vampire Hunter,2012,105 min,5.9,42        ,"152,617",$37.52M,R,"
Action, Fantasy, Horror            ",67500000,37519139,137489730,Abraham Lincoln: Vampire Hunter 2012
Rango,2011,107 min,7.2,75        ,"249,436",$123.48M,PG,"
Animation, Adventure, Comedy            ",135000000,123477607,245724600,Rango 2011
A Good Day to Die Hard,2013,98 min,5.3,28        ,"202,619",$67.35M,R,"
Action, Thriller            ",92000000,67349198,304249198,A Good Day to Die Hard 2013
Hollow Man,2000,112 min,5.8,24        ,"127,637",$73.21M,R,"
Action, Horror, Sci-Fi            ",90000000,73209340,191200000,Hollow Man 2000
Unstoppable,2010,98 min,6.8,69        ,"191,461",$81.56M,PG-13,"
Action, Thriller            ",95000000,81562942,165720921,Unstoppable 2010
Wreck-It Ralph,2012,101 min,7.7,72        ,"397,260",$189.42M,PG,"
Animation, Adventure, Comedy            ",165000000,189412677,496511521,Wreck-It Ralph 2012
Brave,2012,93 min,7.1,69        ,"389,205",$237.28M,PG,"
Animation, Adventure, Comedy            ",185000000,237282182,554606532,Brave 2012
Tomorrowland,2015,130 min,6.4,60        ,"177,595",$93.44M,PG,"
Action, Adventure, Family            ",170000000,93436322,206627518,Tomorrowland 2015
Mary Poppins Returns,2018,130 min,6.7,66        ,"82,205",$171.96M,PG,"
Comedy, Family, Fantasy            ",130000000,171958438,348901032,Mary Poppins Returns 2018
The Dark Tower,2017,95 min,5.6,34        ,"133,670",$50.70M,PG-13,"
Action, Adventure, Fantasy            ",60000000,50701325,113461527,The Dark Tower 2017
The Three Musketeers,2011,110 min,5.7,35        ,"105,975",$20.38M,PG-13,"
Action, Adventure, Fantasy            ",90000000,20377913,139877913,The Three Musketeers 2011
The Three Musketeers,1993,105 min,6.4,43        ,"52,926",$53.90M,PG,"
Action, Adventure, Comedy            ",90000000,20377913,139877913,The Three Musketeers 1993
The Mortal Instruments: City of Bones,2013,130 min,5.9,33        ,"130,439",$31.17M,PG-13,"
Action, Adventure, Fantasy            ",60000000,31165421,75965567,The Mortal Instruments: City of Bones 2013
National Treasure,2004,131 min,6.9,39        ,"316,203",$173.01M,PG,"
Action, Adventure, Mystery            ",100000000,173005002,331323410,National Treasure 2004
Now You See Me 2,2016,129 min,6.5,46        ,"266,607",$65.08M,PG-13,"
Action, Adventure, Comedy            ",90000000,65075540,328325007,Now You See Me 2 2016
xXx,2002,124 min,5.9,48        ,"176,676",$142.11M,PG-13,"
Action, Adventure, Thriller            ",70000000,141930000,267200000,xXx 2002
Osmosis Jones,2001,95 min,6.3,57        ,"34,445",$13.60M,PG,"
Animation, Action, Adventure            ",70000000,13596911,13596911,Osmosis Jones 2001
2 Fast 2 Furious,2003,107 min,5.9,38        ,"263,585",$127.15M,PG-13,"
Action, Crime, Thriller            ",76000000,127120058,236410607,2 Fast 2 Furious 2003
Tears of the Sun,2003,121 min,6.6,48        ,"117,947",$43.73M,R,"
Action, Drama, Thriller            ",75000000,43632458,85632458,Tears of the Sun 2003
The Legend of Tarzan,2016,110 min,6.2,44        ,"170,236",$126.64M,PG-13,"
Action, Adventure, Drama            ",180000000,126643061,348902025,The Legend of Tarzan 2016
Mission: Impossible III,2006,126 min,6.9,66        ,"341,611",$134.03M,PG-13,"
Action, Adventure, Thriller            ",150000000,133501348,399387745,Mission: Impossible III 2006
Robots,2005,91 min,6.3,64        ,"139,149",$128.20M,PG,"
Animation, Adventure, Comedy            ",80000000,128200012,260636271,Robots 2005
Madagascar,2005,86 min,6.9,57        ,"381,556",$193.60M,PG,"
Animation, Adventure, Comedy            ",75000000,193595521,556559566,Madagascar 2005
Alien: Resurrection,1997,109 min,6.2,63        ,"238,026",$47.75M,R,"
Action, Horror, Sci-Fi            ",60000000,47795018,160700000,Alien: Resurrection 1997
Resident Evil: Retribution,2012,95 min,5.4,39        ,"137,383",$42.35M,R,"
Action, Horror, Sci-Fi            ",65000000,42345531,240647629,Resident Evil: Retribution 2012
Atlantis: The Lost Empire,2001,95 min,6.9,52        ,"111,534",$84.05M,PG,"
Animation, Action, Adventure            ",90000000,84052762,186049020,Atlantis: The Lost Empire 2001
Sherlock Holmes: A Game of Shadows,2011,129 min,7.5,48        ,"435,016",$186.85M,PG-13,"
Action, Adventure, Mystery            ",125000000,186848418,535663443,Sherlock Holmes: A Game of Shadows 2011
The Day the Earth Stood Still,2008,104 min,5.5,40        ,"166,954",$79.37M,PG-13,"
Drama, Sci-Fi, Thriller            ",80000000,79366978,237370350,The Day the Earth Stood Still 2008
The Emperor's New Groove,2000,78 min,7.4,70        ,"190,510",$89.30M,G,"
Animation, Adventure, Comedy            ",100000000,89630573,169630573,The Emperor's New Groove 2000
The Secret Life of Pets,2016,87 min,6.5,61        ,"191,678",$368.38M,PG,"
Animation, Adventure, Comedy            ",75000000,368384330,885302500,The Secret Life of Pets 2016
Hulk,2003,138 min,5.6,54        ,"259,524",$132.18M,PG-13,"
Action, Sci-Fi            ",137000000,132177234,245031679,Hulk 2003
Fast Five,2011,130 min,7.3,66        ,"367,683",$209.84M,PG-13,"
Action, Adventure, Crime            ",125000000,210031325,630163454,Fast Five 2011
Mystery Men,1999,121 min,6.1,65        ,"65,300",$29.66M,PG-13,"
Action, Comedy, Fantasy            ",68000000,29762011,33462011,Mystery Men 1999
The Mummy: Tomb of the Dragon Emperor,2008,112 min,5.2,31        ,"155,715",$102.49M,PG-13,"
Action, Fantasy, Horror            ",175000000,102491776,405760225,The Mummy: Tomb of the Dragon Emperor 2008
The Adventures of Tintin,2011,107 min,7.3,68        ,"223,623",$77.59M,PG,"
Animation, Action, Adventure            ",130000000,77591831,373993951,The Adventures of Tintin 2011
Joy,2015,124 min,6.6,56        ,"132,591",$56.45M,PG-13,"
Biography, Drama            ",60000000,56451232,101134059,Joy  2015
Ice Age,2002,81 min,7.5,60        ,"458,638",$176.39M,PG,"
Animation, Adventure, Comedy            ",65000000,176387405,386116343,Ice Age 2002
Last Action Hero,1993,130 min,6.4,44        ,"144,644",$50.02M,PG-13,"
Action, Adventure, Comedy            ",85000000,50016394,137298489,Last Action Hero 1993
American Assassin,2017,111 min,6.2,45        ,"77,057",$36.25M,R,"
Action, Thriller            ",63000000,36249674,68310140,American Assassin 2017
Mortal Engines,2018,128 min,6.1,44        ,"118,297",$15.95M,PG-13,"
Action, Adventure, Fantasy            ",100000000,15951040,85480271,Mortal Engines 2018
Ghost Rider,2007,110 min,5.3,35        ,"230,196",$115.80M,PG-13,"
Action, Fantasy, Thriller            ",120000000,115802596,229545589,Ghost Rider 2007
Skyscraper,2018,102 min,5.8,51        ,"114,847",$68.42M,PG-13,"
Action, Adventure, Thriller            ",125000000,68420120,304868961,Skyscraper 2018
Rise of the Planet of the Apes,2011,105 min,7.5,68        ,"509,442",$176.76M,PG-13,"
Action, Drama, Sci-Fi            ",93000000,176760185,470986200,Rise of the Planet of the Apes 2011
Deepwater Horizon,2016,107 min,7.1,68        ,"160,719",$61.43M,PG-13,"
Action, Drama, History            ",156000000,61433527,122603824,Deepwater Horizon 2016
Toy Story 3,2010,103 min,8.2,92        ,"788,313",$415.00M,G,"
Animation, Adventure, Comedy            ",200000000,415004880,1068879522,Toy Story 3 2010
Rush Hour 2,2001,90 min,6.6,48        ,"208,957",$226.16M,PG-13,"
Action, Comedy, Crime            ",90000000,226164286,347425832,Rush Hour 2 2001
The Princess and the Frog,2009,97 min,7.1,73        ,"132,836",$104.40M,G,"
Animation, Adventure, Comedy            ",105000000,104400899,270997378,The Princess and the Frog 2009
The Hangover Part II,2011,102 min,6.5,44        ,"478,805",$254.46M,R,"
Comedy            ",80000000,254464305,586764305,The Hangover Part II 2011
Alexander,2004,175 min,5.6,39        ,"166,306",$34.30M,R,"
Action, Biography, Drama            ",155000000,34297191,167297191,Alexander 2004
The Abyss,1989,140 min,7.5,62        ,"170,832",$54.46M,PG-13,"
Adventure, Drama, Mystery            ",70000000,54243125,54243441,The Abyss 1989
The Chronicles of Riddick,2004,119 min,6.7,38        ,"220,722",$57.76M,R,"
Action, Adventure, Sci-Fi            ",120000000,57712751,107212751,The Chronicles of Riddick 2004
Cliffhanger,1993,113 min,6.4,60        ,"124,883",$84.05M,R,"
Action, Adventure, Thriller            ",65000000,84049211,255000000,Cliffhanger 1993
Geostorm,2017,109 min,5.3,21        ,"101,415",$33.70M,PG-13,"
Action, Sci-Fi, Thriller            ",100000000,33700160,220796009,Geostorm 2017
Shrek the Third,2007,93 min,6.1,58        ,"292,023",$320.71M,PG,"
Animation, Adventure, Comedy            ",160000000,322719944,807330936,Shrek the Third 2007
The Invasion,2007,99 min,5.9,45        ,"76,594",$15.07M,PG-13,"
Sci-Fi, Thriller            ",80000000,15074191,40147042,The Invasion  2007
50 First Dates,2004,99 min,6.8,48        ,"339,658",$120.91M,PG-13,"
Comedy, Drama, Romance            ",75000000,120776832,196320329,50 First Dates 2004
The Perfect Storm,2000,130 min,6.4,59        ,"161,866",$182.62M,PG-13,"
Action, Adventure, Drama            ",120000000,182618434,328711434,The Perfect Storm 2000
Broken Arrow,1996,108 min,6.1,61        ,"94,865",$70.77M,R,"
Action, Adventure, Thriller            ",65000000,70645997,148345997,Broken Arrow 1996
The Campaign,2012,85 min,6.1,50        ,"127,818",$86.91M,R,"
Comedy            ",95000000,86907746,104907746,The Campaign 2012
Ocean's Twelve,2004,125 min,6.5,58        ,"373,548",$125.54M,PG-13,"
Crime, Thriller            ",110000000,125531634,362989076,Ocean's Twelve 2004
This Means War,2012,103 min,6.3,31        ,"181,474",$54.76M,PG-13,"
Action, Comedy, Romance            ",65000000,54760791,156974557,This Means War 2012
What Women Want,2000,127 min,6.4,47        ,"200,761",$182.81M,PG-13,"
Comedy, Fantasy, Romance            ",65000000,182805123,374105123,What Women Want 2000
Oz the Great and Powerful,2013,130 min,6.3,44        ,"203,182",$234.91M,PG,"
Adventure, Family, Fantasy            ",200000000,234770996,490359051,Oz the Great and Powerful 2013
Rio,2011,96 min,6.9,63        ,"216,008",$143.62M,G,"
Animation, Adventure, Comedy            ",90000000,143619809,487519809,Rio 2011
Power Rangers,2017,124 min,5.9,44        ,"105,041",$85.36M,PG-13,"
Action, Adventure, Sci-Fi            ",120000000,85364450,142531552,Power Rangers 2017
Superman Returns,2006,154 min,6.0,72        ,"276,521",$200.08M,PG-13,"
Action, Sci-Fi            ",232000000,200120000,391081192,Superman Returns 2006
How the Grinch Stole Christmas,2000,104 min,6.2,46        ,"222,875",$260.04M,PG,"
Comedy, Family, Fantasy            ",123000000,260348825,345445403,How the Grinch Stole Christmas 2000
Journey 2: The Mysterious Island,2012,94 min,5.8,41        ,"98,265",$103.86M,PG,"
Action, Adventure, Comedy            ",79000000,103860290,318146162,Journey 2: The Mysterious Island 2012
Basic Instinct 2,2006,114 min,4.4,26        ,"38,711",$5.97M,R,"
Drama, Mystery, Thriller            ",70000000,5946136,35417162,Basic Instinct 2 2006
Transformers: Revenge of the Fallen,2009,149 min,6.0,35        ,"394,873",$402.11M,PG-13,"
Action, Adventure, Sci-Fi            ",210000000,402111870,836519699,Transformers: Revenge of the Fallen 2009
Terminator 3: Rise of the Machines,2003,109 min,6.3,66        ,"387,080",$150.37M,R,"
Action, Sci-Fi            ",170000000,150358296,433058296,Terminator 3: Rise of the Machines 2003
The Scorpion King,2002,92 min,5.5,45        ,"134,556",$91.05M,PG-13,"
Action, Adventure, Fantasy            ",60000000,90580000,165890634,The Scorpion King 2002
Bright,2017,117 min,6.3,29        ,"178,332",-,TV-MA,"
Action, Fantasy, Thriller            ",90000000,0,0,Bright  2017
Transformers: Dark of the Moon,2011,154 min,6.2,42        ,"394,791",$352.39M,PG-13,"
Action, Adventure, Sci-Fi            ",195000000,352390543,1123794079,Transformers: Dark of the Moon 2011
Minions,2015,91 min,6.4,56        ,"222,189",$336.05M,PG,"
Animation, Adventure, Comedy            ",74000000,336045770,1159631140,Minions 2015
Red Dawn,1984,114 min,6.4,53        ,"53,796",$38.38M,PG-13,"
Action, Drama            ",65000000,44806783,48164150,Red Dawn 1984
Red Dawn,2012,93 min,5.4,31        ,"75,377",$44.81M,PG-13,"
Action, Drama            ",65000000,44806783,48164150,Red Dawn 2012
Abominable,2019,97 min,7.0,61        ,"34,342",$60.72M,PG,"
Animation, Adventure, Comedy            ",75000000,60761390,188659191,Abominable 2019
Need for Speed,2014,132 min,6.4,39        ,"166,908",$43.58M,PG-13,"
Action, Crime, Thriller            ",66000000,43568507,194169619,Need for Speed 2014
Bruce Almighty,2003,101 min,6.8,46        ,"384,951",$242.83M,PG-13,"
Comedy, Fantasy            ",81000000,242704995,484468608,Bruce Almighty 2003
The Dictator,2012,83 min,6.4,58        ,"290,353",$59.65M,R,"
Comedy            ",65000000,59650222,180148897,The Dictator 2012
Despicable Me 2,2013,98 min,7.3,62        ,"381,841",$368.06M,PG,"
Animation, Adventure, Comedy            ",76000000,368065385,975216835,Despicable Me 2 2013
The Missing,2003,137 min,6.5,55        ,"34,711",$26.90M,R,"
Adventure, Thriller, Western            ",65000000,26900336,38253433,The Missing  2003
Something's Gotta Give,2003,128 min,6.7,66        ,"116,733",$124.73M,PG-13,"
Comedy, Drama, Romance            ",80000000,124685242,266685242,Something's Gotta Give 2003
Clear and Present Danger,1994,141 min,6.9,74        ,"95,190",$122.19M,PG-13,"
Action, Crime, Drama            ",62000000,122012656,207500000,Clear and Present Danger 1994
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,112 min,6.0,40        ,"88,361",$82.05M,PG-13,"
Action, Adventure, Comedy            ",135000000,82051601,245328374,Teenage Mutant Ninja Turtles: Out of the Shadows 2016
What Dreams May Come,1998,113 min,7.0,44        ,"105,925",$55.49M,PG-13,"
Drama, Fantasy, Romance            ",80000000,55485043,71485043,What Dreams May Come 1998
Sex and the City 2,2010,146 min,4.5,27        ,"76,717",$95.35M,R,"
Comedy, Drama, Romance            ",95000000,95347692,294680778,Sex and the City 2 2010
The Boss Baby,2017,97 min,6.3,50        ,"117,691",$175.00M,PG,"
Animation, Adventure, Comedy            ",125000000,175003033,527965936,The Boss Baby 2017
xXx: Return of Xander Cage,2017,107 min,5.2,42        ,"89,098",$44.90M,PG-13,"
Action, Adventure, Thriller            ",85000000,44898413,345033359,xXx: Return of Xander Cage 2017
Pacific Rim: Uprising,2018,111 min,5.6,44        ,"111,678",$59.87M,PG-13,"
Action, Adventure, Sci-Fi            ",155000000,59874525,290930148,Pacific Rim: Uprising 2018
Cars 2,2011,106 min,6.1,57        ,"172,504",$191.45M,G,"
Animation, Adventure, Comedy            ",200000000,191450875,560155383,Cars 2 2011
Hancock,2008,92 min,6.4,49        ,"460,641",$227.95M,PG-13,"
Action, Drama, Fantasy            ",150000000,227946274,624234272,Hancock 2008
State of Play,2009,127 min,7.1,64        ,"147,986",$37.02M,PG-13,"
Crime, Drama, Mystery            ",60000000,37017955,88832210,State of Play 2009
S.W.A.T.,2003,117 min,6.0,45        ,"143,099",$116.93M,PG-13,"
Action, Adventure, Crime            ",70000000,116877597,207154748,S.W.A.T. 2003
The Last Witch Hunter,2015,106 min,6.0,34        ,"100,004",$27.37M,PG-13,"
Action, Adventure, Fantasy            ",80000000,27367660,130818912,The Last Witch Hunter 2015
Toy Story 2,1999,92 min,7.9,88        ,"549,666",$245.85M,G,"
Animation, Adventure, Comedy            ",90000000,245852179,511358276,Toy Story 2 1999
Ben-Hur,1959,212 min,8.1,90        ,"229,113",$74.70M,G,"
Adventure, Drama, History            ",95000000,26410477,91669648,Ben-Hur 1959
Ocean's Thirteen,2007,122 min,6.9,62        ,"332,947",$117.15M,PG-13,"
Crime, Thriller            ",85000000,117144465,311744465,Ocean's Thirteen 2007
Cold Pursuit,2019,119 min,6.2,57        ,"62,918",$32.14M,R,"
Action, Comedy, Crime            ",60000000,32138862,62599159,Cold Pursuit 2019
Lilo & Stitch,2002,92 min,7.3,73        ,"177,867",$145.79M,PG,"
Animation, Adventure, Comedy            ",80000000,145771527,245800000,Lilo & Stitch 2002
The Bourne Legacy,2012,135 min,6.6,61        ,"292,716",$113.20M,PG-13,"
Action, Adventure, Thriller            ",125000000,113203870,280355920,The Bourne Legacy 2012
Dawn of the Planet of the Apes,2014,130 min,7.6,79        ,"423,761",$208.55M,PG-13,"
Action, Adventure, Drama            ",170000000,208545589,710644566,Dawn of the Planet of the Apes 2014
2 Guns,2013,109 min,6.7,55        ,"204,309",$75.61M,R,"
Action, Comedy, Crime            ",61000000,75612460,132493015,2 Guns 2013
The Prince of Egypt,1998,99 min,7.1,64        ,"124,842",$101.22M,PG,"
Animation, Adventure, Drama            ",60000000,101413188,218613188,The Prince of Egypt 1998
The Expendables 2,2012,103 min,6.6,51        ,"299,414",$85.02M,R,"
Action, Adventure, Thriller            ",100000000,85028192,311979256,The Expendables 2 2012
The Tourist,2010,103 min,6.0,37        ,"233,113",$67.63M,PG-13,"
Action, Thriller            ",100000000,67631157,278731369,The Tourist  2010
Terminator Salvation,2009,115 min,6.5,49        ,"351,606",$125.32M,PG-13,"
Action, Sci-Fi            ",200000000,125322469,365491792,Terminator Salvation 2009
Valkyrie,2008,121 min,7.1,56        ,"235,238",$83.08M,PG-13,"
Drama, History, Thriller            ",90000000,83107829,203932174,Valkyrie 2008
Wolf,1994,125 min,6.2,-,"54,669",$65.01M,R,"
Drama, Horror, Romance            ",70000000,65011757,131011757,Wolf 1994
The Spiderwick Chronicles,2008,96 min,6.5,62        ,"92,182",$71.20M,PG,"
Action, Adventure, Drama            ",92500000,71195053,162839667,The Spiderwick Chronicles 2008
Night at the Museum: Secret of the Tomb,2014,98 min,6.2,47        ,"113,951",$113.75M,PG,"
Adventure, Comedy, Family            ",127000000,113746621,353756621,Night at the Museum: Secret of the Tomb 2014
Treasure Planet,2002,95 min,7.2,60        ,"110,022",$38.18M,PG,"
Animation, Adventure, Family            ",100000000,38120554,91800000,Treasure Planet 2002
Shrek Forever After,2010,93 min,6.3,58        ,"193,811",$238.37M,PG,"
Animation, Adventure, Comedy            ",165000000,238736787,756244673,Shrek Forever After 2010
The Brothers Grimm,2005,118 min,5.9,51        ,"118,681",$37.92M,PG-13,"
Action, Adventure, Comedy            ",80000000,37899638,105299638,The Brothers Grimm 2005
Olympus Has Fallen,2013,119 min,6.5,41        ,"266,387",$98.93M,R,"
Action, Thriller            ",70000000,98927592,172878928,Olympus Has Fallen 2013
The Lego Batman Movie,2017,104 min,7.3,75        ,"138,549",$175.75M,PG,"
Animation, Action, Adventure            ",80000000,175750384,310570560,The Lego Batman Movie 2017
Rock of Ages,2012,123 min,5.9,47        ,"75,924",$38.52M,PG-13,"
Comedy, Drama, Musical            ",70000000,38518613,61031932,Rock of Ages 2012
Timeline,2003,116 min,5.7,28        ,"61,965",$19.48M,PG-13,"
Action, Adventure, Sci-Fi            ",80000000,19480739,26703184,Timeline 2003
Salt,2010,100 min,6.4,65        ,"304,760",$118.31M,PG-13,"
Action, Thriller            ",130000000,118311368,290650494,Salt 2010
Star Trek: Nemesis,2002,116 min,6.4,51        ,"76,728",$43.25M,PG-13,"
Action, Adventure, Sci-Fi            ",60000000,43254409,67312826,Star Trek: Nemesis 2002
Maze Runner: The Scorch Trials,2015,131 min,6.3,43        ,"234,886",$81.70M,PG-13,"
Action, Adventure, Sci-Fi            ",61000000,81697192,310566162,Maze Runner: The Scorch Trials 2015
The Good Shepherd,2006,167 min,6.7,61        ,"100,946",$59.95M,R,"
Drama, History, Thriller            ",80000000,59908565,100378271,The Good Shepherd 2006
Home,2015,94 min,6.6,55        ,"97,440",$177.40M,PG,"
Animation, Adventure, Comedy            ",130000000,177397510,385997896,Home  2015
Cloudy with a Chance of Meatballs,2009,90 min,6.9,66        ,"216,935",$124.87M,PG,"
Animation, Adventure, Comedy            ",100000000,124870275,236827677,Cloudy with a Chance of Meatballs 2009
We Were Soldiers,2002,138 min,7.2,65        ,"135,569",$78.12M,R,"
Action, Drama, History            ",70000000,78120196,114658262,We Were Soldiers 2002
Dreamcatcher,2003,134 min,5.5,35        ,"90,766",$33.72M,R,"
Drama, Horror, Sci-Fi            ",68000000,33685268,75685268,Dreamcatcher 2003
Tarzan,1999,88 min,7.3,79        ,"213,342",$171.09M,G,"
Animation, Adventure, Drama            ",145000000,171091819,448191819,Tarzan 1999
The Chronicles of Narnia: Prince Caspian,2008,150 min,6.5,62        ,"201,805",$141.62M,PG,"
Action, Adventure, Family            ",225000000,141621490,417341288,The Chronicles of Narnia: Prince Caspian 2008
Finding Dory,2016,97 min,7.3,77        ,"255,541",$486.30M,PG,"
Animation, Adventure, Comedy            ",200000000,486295561,1025006125,Finding Dory 2016
White House Down,2013,131 min,6.3,52        ,"213,709",$73.10M,PG-13,"
Action, Drama, Thriller            ",150000000,73103784,205440387,White House Down 2013
The Time Machine,2002,96 min,6.0,42        ,"121,826",$56.68M,PG-13,"
Action, Adventure, Sci-Fi            ",80000000,56684819,98983590,The Time Machine 2002
Alice Through the Looking Glass,2016,113 min,6.2,34        ,"100,436",$77.04M,PG,"
Adventure, Family, Fantasy            ",170000000,77042381,276928112,Alice Through the Looking Glass 2016
R.I.P.D.,2013,96 min,5.6,25        ,"124,868",$33.62M,PG-13,"
Action, Adventure, Comedy            ",130000000,33618855,79076678,R.I.P.D. 2013
The Hunchback of Notre Dame,1996,91 min,7.0,74        ,"148,867",$100.14M,G,"
Animation, Drama, Family            ",100000000,100138851,325500000,The Hunchback of Notre Dame 1996
Enemy at the Gates,2001,131 min,7.6,53        ,"252,021",$51.40M,R,"
Drama, History, War            ",85000000,51396781,96971293,Enemy at the Gates 2001
Bad Boys II,2003,147 min,6.6,38        ,"240,415",$138.61M,R,"
Action, Comedy, Crime            ",130000000,138540870,273271982,Bad Boys II 2003
The Bourne Ultimatum,2007,115 min,8.0,85        ,"617,331",$227.47M,PG-13,"
Action, Adventure, Mystery            ",130000000,227471070,444043396,The Bourne Ultimatum 2007
Escape Plan,2013,115 min,6.7,49        ,"235,357",$25.13M,R,"
Action, Thriller            ",70000000,25135965,103735965,Escape Plan 2013
The Insider,1999,157 min,7.8,84        ,"166,344",$28.97M,R,"
Biography, Drama, Thriller            ",68000000,28965197,60265197,The Insider 1999
What Lies Beneath,2000,130 min,6.6,51        ,"121,868",$155.46M,PG-13,"
Drama, Horror, Mystery            ",90000000,155464351,288693989,What Lies Beneath 2000
How to Train Your Dragon: The Hidden World,2019,104 min,7.5,71        ,"115,483",$160.80M,PG,"
Animation, Action, Adventure            ",129000000,160799505,522747474,How to Train Your Dragon: The Hidden World 2019
