Movie,year,time_minute,imdb_rating,metascore,vote,gross_earning,certificates,genres,ProductionBudget,DomesticGross,WorldwideGross,Movie_year
Pirates of the Caribbean: On Stranger Tides,2011,136 min,6.6,45        ,"498,843",$241.06M,PG-13,"
Action, Adventure, Fantasy            ",379000000,241071802,1045713802,Pirates of the Caribbean: On Stranger Tides 2011
The Equalizer 2,2018,121 min,6.7,50        ,"145,986",$102.08M,R,"
Action, Crime, Thriller            ",77000000,102084362,190376181,The Equalizer 2 2018
Downsizing,2017,135 min,5.7,63        ,"104,263",$24.45M,R,"
Drama, Fantasy, Sci-Fi            ",68000000,24449754,54462971,Downsizing 2017
Shooter,2007,124 min,7.2,53        ,"321,764",$47.00M,R,"
Action, Drama, Thriller            ",60000000,47003582,95538560,Shooter  2007
King Arthur: Legend of the Sword,2017,126 min,6.7,41        ,"203,412",$39.18M,PG-13,"
Action, Adventure, Drama            ",175000000,39175066,139630336,King Arthur: Legend of the Sword 2017
Hannibal,2001,131 min,6.8,57        ,"264,082",$165.09M,R,"
Crime, Drama, Thriller            ",87000000,165092266,350100280,Hannibal 2001
Cold Mountain,2003,154 min,7.2,73        ,"144,127",$95.64M,R,"
Adventure, Drama, History            ",80000000,95632614,165173909,Cold Mountain 2003
Red Dragon,2002,124 min,7.2,60        ,"262,621",$93.15M,R,"
Crime, Drama, Thriller            ",78000000,92955420,206455420,Red Dragon 2002
Deep Impact,1998,120 min,6.2,40        ,"171,075",$140.46M,PG-13,"
Action, Drama, Sci-Fi            ",80000000,140464664,349464664,Deep Impact 1998
X-Men: Days of Future Past,2014,132 min,7.9,75        ,"681,062",$233.92M,PG-13,"
Action, Adventure, Sci-Fi            ",200000000,233921534,747862775,X-Men: Days of Future Past 2014
Pacific Rim,2013,131 min,6.9,65        ,"481,072",$101.80M,PG-13,"
Action, Adventure, Sci-Fi            ",190000000,101802906,411002906,Pacific Rim 2013
The Longest Yard,2005,113 min,6.4,48        ,"169,835",$158.12M,PG-13,"
Comedy, Crime, Sport            ",82000000,158119460,191558505,The Longest Yard 2005
2012,2009,158 min,5.8,49        ,"364,536",$166.11M,PG-13,"
Action, Adventure, Sci-Fi            ",200000000,166112167,757677748,2012  2009
Fantastic Four,2005,106 min,5.7,40        ,"319,373",$154.70M,PG-13,"
Action, Adventure, Fantasy            ",87500000,154696080,333132750,Fantastic Four  2005
Fantastic Four,2015,100 min,4.2,27        ,"158,943",$56.12M,PG-13,"
Action, Adventure, Sci-Fi            ",87500000,154696080,333132750,Fantastic Four 2015
Lincoln,2012,150 min,7.3,86        ,"252,582",$182.21M,PG-13,"
Biography, Drama, History            ",65000000,182207973,273346281,Lincoln 2012
Apollo 13,1995,140 min,7.6,77        ,"281,521",$173.84M,PG,"
Adventure, Drama, History            ",65000000,173772767,335802271,Apollo 13  1995
Batman Returns,1992,126 min,7.0,68        ,"286,023",$162.83M,PG-13,"
Action, Crime, Fantasy            ",80000000,162833635,266824291,Batman Returns 1992
Star Trek Into Darkness,2013,132 min,7.7,72        ,"472,811",$228.78M,PG-13,"
Action, Adventure, Sci-Fi            ",190000000,228778661,467381584,Star Trek Into Darkness 2013
The Meg,2018,113 min,5.6,46        ,"160,908",$143.01M,PG-13,"
Action, Horror, Sci-Fi            ",178000000,145443742,527370715,The Meg 2018
The Fate of the Furious,2017,136 min,6.6,56        ,"219,870",$226.01M,PG-13,"
Action, Adventure, Crime            ",250000000,225764765,1236703796,The Fate of the Furious 2017
Noah,2014,138 min,5.7,68        ,"249,167",$101.20M,PG-13,"
Action, Adventure, Drama            ",130000000,101200044,352831065,Noah 2014
Wanted,2008,110 min,6.7,64        ,"374,828",$134.51M,R,"
Action, Crime, Thriller            ",75000000,134508551,342416460,Wanted 2008
San Andreas,2015,114 min,6.1,43        ,"224,746",$155.19M,PG-13,"
Action, Adventure, Thriller            ",110000000,155190832,456258539,San Andreas 2015
Memoirs of a Geisha,2005,145 min,7.4,54        ,"143,432",$57.49M,PG-13,"
Drama, Romance            ",85000000,57010853,161510853,Memoirs of a Geisha 2005
King Kong,2005,187 min,7.2,81        ,"407,875",$218.08M,PG-13,"
Action, Adventure, Drama            ",207000000,218080025,550517357,King Kong 2005
King Kong,1976,134 min,5.9,61        ,"31,536",$52.61M,PG,"
Adventure, Horror            ",207000000,218080025,550517357,King Kong 1976
King Kong,1933,100 min,7.9,90        ,"82,706",$10.00M,Passed,"
Adventure, Horror, Sci-Fi            ",207000000,218080025,550517357,King Kong 1933
Meet Joe Black,1998,178 min,7.2,43        ,"227,533",$44.62M,PG-13,"
Drama, Fantasy, Romance            ",85000000,44650003,44650003,Meet Joe Black 1998
Indiana Jones and the Kingdom of the Crystal Skull,2008,122 min,6.1,65        ,"438,876",$317.10M,PG-13,"
Action, Adventure            ",185000000,317101119,786635413,Indiana Jones and the Kingdom of the Crystal Skull 2008
Snow White and the Huntsman,2012,127 min,6.1,57        ,"281,057",$155.33M,PG-13,"
Action, Adventure, Drama            ",170000000,155136755,401021746,Snow White and the Huntsman 2012
John Carter,2012,132 min,6.6,51        ,"263,222",$73.08M,PG-13,"
Action, Adventure, Sci-Fi            ",263700000,73058679,282778100,John Carter 2012
The Last Samurai,2003,154 min,7.7,55        ,"416,660",$111.11M,R,"
Action, Drama            ",140000000,111110575,456810575,The Last Samurai 2003
Sin City: A Dame to Kill For,2014,102 min,6.5,46        ,"157,073",$13.76M,R,"
Action, Crime, Thriller            ",65000000,13757804,40650842,Sin City: A Dame to Kill For 2014
Toy Story 4,2019,100 min,7.7,84        ,"223,998",$434.04M,G,"
Animation, Adventure, Comedy            ",200000000,434038008,1073080329,Toy Story 4 2019
Frozen II,2019,103 min,6.8,64        ,"153,114",$477.37M,PG,"
Animation, Adventure, Comedy            ",150000000,477373578,1445182280,Frozen II 2019
In the Heart of the Sea,2015,122 min,6.9,47        ,"130,761",$25.02M,PG-13,"
Action, Adventure, Biography            ",100000000,25020758,89693309,In the Heart of the Sea 2015
Peter Pan,2003,113 min,6.8,64        ,"69,662",$48.46M,PG,"
Adventure, Family, Fantasy            ",100000000,48417850,95255485,Peter Pan 2003
Kong: Skull Island,2017,118 min,6.6,62        ,"299,549",$168.05M,PG-13,"
Action, Adventure, Fantasy            ",185000000,168052812,561072059,Kong: Skull Island 2017
The Last Airbender,2010,103 min,4.0,20        ,"158,580",$131.56M,PG,"
Action, Adventure, Family            ",150000000,131772187,319713881,The Last Airbender 2010
Ender's Game,2013,114 min,6.6,51        ,"231,505",$61.74M,PG-13,"
Action, Adventure, Fantasy            ",110000000,61737191,127983283,Ender's Game 2013
King Arthur,2004,126 min,6.3,46        ,"163,362",$51.88M,PG-13,"
Action, Adventure, Drama            ",90000000,51877963,203653524,King Arthur 2004
Jack Reacher: Never Go Back,2016,118 min,6.1,47        ,"146,691",$58.70M,PG-13,"
Action, Crime, Thriller            ",60000000,58697076,159946489,Jack Reacher: Never Go Back 2016
Godzilla: King of the Monsters,2019,132 min,6.0,48        ,"167,512",$110.50M,PG-13,"
Action, Adventure, Fantasy            ",170000000,110500138,383299915,Godzilla: King of the Monsters 2019
Sully,2016,96 min,7.4,74        ,"254,277",$125.07M,PG-13,"
Biography, Drama            ",60000000,125070033,238524556,Sully 2016
True Lies,1994,141 min,7.2,63        ,"248,027",$146.28M,R,"
Action, Comedy, Thriller            ",100000000,146282411,365300000,True Lies 1994
Megamind,2010,95 min,7.2,63        ,"241,535",$148.42M,PG,"
Animation, Action, Comedy            ",130000000,148415853,321887208,Megamind 2010
Independence Day: Resurgence,2016,120 min,5.2,32        ,"173,071",$103.14M,PG-13,"
Action, Adventure, Sci-Fi            ",165000000,103144286,384169424,Independence Day: Resurgence 2016
G.I. Joe: Retaliation,2013,110 min,5.8,41        ,"177,969",$122.52M,PG-13,"
Action, Adventure, Sci-Fi            ",140000000,122523060,375740705,G.I. Joe: Retaliation 2013
Inferno,2016,121 min,6.2,42        ,"167,585",$34.34M,PG-13,"
Action, Adventure, Crime            ",75000000,34343574,219519367,Inferno  2016
Hellboy,2019,120 min,5.2,31        ,"84,212",$21.90M,R,"
Action, Adventure, Fantasy            ",60000000,59623958,99823958,Hellboy 2019
Hellboy,2004,122 min,6.8,72        ,"316,027",$59.62M,PG-13,"
Action, Fantasy            ",60000000,59623958,99823958,Hellboy 2004
Mission: Impossible,1996,110 min,7.1,59        ,"403,662",$180.98M,PG-13,"
Action, Adventure, Thriller            ",80000000,180981886,457697994,Mission: Impossible 1996
Space Jam,1996,88 min,6.5,59        ,"189,576",$90.46M,PG,"
Animation, Adventure, Comedy            ",80000000,90463534,250180384,Space Jam 1996
The Book of Eli,2010,118 min,6.9,53        ,"304,455",$94.84M,R,"
Action, Adventure, Drama            ",80000000,94835059,158750817,The Book of Eli 2010
Contagion,2011,106 min,6.8,70        ,"293,504",$75.66M,PG-13,"
Drama, Thriller            ",60000000,75658097,137551594,Contagion 2011
"I, Robot",2004,115 min,7.1,59        ,"516,143",$144.80M,PG-13,"
Action, Drama, Sci-Fi            ",105000000,144801023,348629585,"I, Robot 2004"
Unbroken,2014,137 min,7.2,59        ,"158,100",$115.64M,PG-13,"
Action, Biography, Drama            ",65000000,115637895,163527824,Unbroken  2014
Robin Hood,2018,116 min,5.3,32        ,"69,177",$30.82M,PG-13,"
Action, Adventure, Drama            ",210000000,105487148,322459006,Robin Hood 2018
Robin Hood,2010,140 min,6.6,53        ,"260,413",$105.27M,PG-13,"
Action, Adventure, Drama            ",210000000,105487148,322459006,Robin Hood 2010
Robin Hood,1973,83 min,7.6,57        ,"120,930",$32.06M,G,"
Animation, Adventure, Comedy            ",210000000,105487148,322459006,Robin Hood 1973
Con Air,1997,115 min,6.9,52        ,"286,152",$101.12M,R,"
Action, Crime, Thriller            ",80000000,101117573,224117573,Con Air 1997
The Expendables,2010,103 min,6.5,45        ,"335,215",$103.07M,R,"
Action, Adventure, Thriller            ",82000000,103068524,268268174,The Expendables 2010
Bee Movie,2007,91 min,6.1,54        ,"151,414",$126.63M,PG,"
Animation, Adventure, Comedy            ",150000000,126631277,287594577,Bee Movie 2007
Everest,2015,121 min,7.1,64        ,"208,654",$43.48M,PG-13,"
Action, Adventure, Biography            ",65000000,43482270,221297061,Everest 2015
Percy Jackson & the Olympians: The Lightning Thief,2010,118 min,5.9,47        ,"182,692",$88.76M,PG,"
Adventure, Family, Fantasy            ",95000000,88768303,223050874,Percy Jackson & the Olympians: The Lightning Thief 2010
Monsters University,2013,104 min,7.2,65        ,"338,514",$268.49M,G,"
Animation, Adventure, Comedy            ",200000000,268488329,743455810,Monsters University 2013
Transformers: The Last Knight,2017,154 min,5.2,27        ,"142,843",$130.17M,PG-13,"
Action, Adventure, Sci-Fi            ",217000000,130168683,602893340,Transformers: The Last Knight 2017
Big Hero 6,2014,102 min,7.8,74        ,"430,832",$222.53M,PG,"
Animation, Action, Adventure            ",165000000,222527828,649657407,Big Hero 6 2014
The Other Guys,2010,107 min,6.7,64        ,"253,452",$119.22M,PG-13,"
Action, Comedy, Crime            ",100000000,119219978,170936470,The Other Guys 2010
Warcraft,2016,123 min,6.8,32        ,"253,610",$47.37M,PG-13,"
Action, Adventure, Fantasy            ",160000000,47365290,438899824,Warcraft 2016
Master and Commander: The Far Side of the World,2003,138 min,7.4,81        ,"211,880",$93.93M,PG-13,"
Action, Adventure, Drama            ",135000000,93926386,212912137,Master and Commander: The Far Side of the World 2003
The Patriot,2000,165 min,7.2,63        ,"263,249",$113.33M,R,"
Action, Drama, History            ",110000000,113330342,215300000,The Patriot 2000
Men in Black 3,2012,106 min,6.8,58        ,"346,982",$179.02M,PG-13,"
Action, Adventure, Comedy            ",215000000,179020854,654213485,Men in Black 3 2012
